Time(s);Average Density;Relative Energy;Maximal Velocity
0.138000;1.000108;141.750000;2.750717
0.139000;1.000105;140.000000;2.772911
0.140000;1.000104;141.500000;2.797946
0.141000;1.000104;141.000000;2.832032
0.142000;1.000108;141.250000;2.838154
0.143000;1.000116;140.250000;2.848804
0.144000;1.000115;139.000000;2.860826
0.145000;1.000123;140.000000;2.871236
0.146000;1.000124;140.000000;2.878402
0.147000;1.000131;139.500000;2.882267
0.148000;1.000122;140.250000;2.886110
0.149000;1.000138;139.750000;2.889978
0.150000;1.000119;139.250000;2.893870
0.151000;1.000104;139.250000;2.903065
0.152000;1.000109;139.250000;2.916268
0.153000;1.000094;139.000000;2.962847
0.154000;1.000101;139.000000;3.007737
0.155000;1.000125;138.250000;3.027269
0.156000;1.000138;138.250000;3.026644
0.157000;1.000128;138.250000;3.026216
0.158000;1.000097;138.750000;3.028107
0.159000;1.000125;139.500000;3.032069
0.160000;1.000155;139.500000;3.036053
0.161000;1.000161;139.250000;3.040059
0.162000;1.000169;139.500000;3.062559
0.163000;1.000198;140.750000;3.114546
0.164000;1.000178;142.500000;3.171340
0.165000;1.000126;143.000000;3.205050
0.166000;1.000119;141.750000;3.208516
0.167000;1.000106;140.750000;3.212006
0.168000;1.000112;141.750000;3.215520
0.169000;1.000120;140.750000;3.219456
0.170000;1.000160;141.250000;3.224774
0.171000;1.000181;141.000000;3.232027
0.172000;1.000172;142.250000;3.241711
0.173000;1.000138;141.500000;3.253638
0.174000;1.000142;141.750000;3.266539
0.175000;1.000152;141.000000;3.278500
0.176000;1.000160;141.750000;3.300814
0.177000;1.000149;140.750000;3.309242
0.178000;1.000163;142.250000;3.307400
0.179000;1.000161;141.500000;3.305545
0.180000;1.000198;140.250000;3.305069
0.181000;1.000197;141.250000;3.308996
0.182000;1.000175;141.750000;3.312944
0.183000;1.000176;141.500000;3.316924
0.184000;1.000180;139.750000;3.320972
0.185000;1.000187;139.250000;3.325114
0.186000;1.000137;138.750000;3.329509
0.187000;1.000155;137.000000;3.392833
0.188000;1.000210;135.500000;3.503491
0.189000;1.000230;134.250000;3.622775
0.190000;1.000212;138.000000;3.694227
0.191000;1.000172;141.000000;3.713619
0.192000;1.000190;138.250000;3.717520
0.193000;1.000234;136.500000;3.720513
0.194000;1.000252;138.500000;3.723541
